Age,Gender,Income,Education,Employment,Online_Shop_Frequency,Avg_Spend_Per_Order,Frequent_Categories,Device_Used,Main_Purchase_Factor,Try_New_Platform,Pay_Faster_Delivery,Become_Regular_If_Personalized,Max_Loyalty_Program_Pay,Abandon_Cart_If_Slow,Allow_Data_Use_For_Rec,Checkout_Problem,Attn_Personalized_Recs,Price_Sensitivity,Switch_For_Discount,Shopping_Challenges,Desired_Features,Satisfaction_1_10,Preferred_Shop_Time,Would_Recommend
45-54,Female,<$1000,Bachelor’s,Employed,1-2 times,$50-$99,"Home & Kitchen,Groceries",Desktop/Laptop,Price,Neutral,No,Likely,None,No,Yes,Security Concerns,Never,Neutral,Neutral,"Other,Product Quality,Payment Issues","One-Click Checkout,AR Product Previews,Better Loyalty Rewards",10,Evening,No
45-54,Female,"$10,000+",Master’s,Employed,6-10 times,$50-$99,Groceries,Mobile,Brand,Likely,Maybe,Likely,None,Sometimes,Yes,Complicated Checkout,Sometimes,Very Sensitive,Very Likely,Payment Issues,"One-Click Checkout,Live Chat Support,Better Loyalty Rewards",6,Afternoon,Yes
25-34,Male,$5000-$9999,Bachelor’s,Student,1-2 times,$50-$99,Groceries,Mobile,Price,Very Likely,Yes,Likely,None,No,Maybe,Slow Delivery,Rarely,Not at All Sensitive,Likely,"Poor Customer Service,Payment Issues","One-Click Checkout,AR Product Previews,Flexible Returns",3,Night,No
25-34,Female,$3000-$4999,Other,Employed,6-10 times,$20-$49,Groceries,Mobile,Price,Unlikely,Yes,Likely,<$5,Sometimes,No,Changed Mind,Sometimes,Very Sensitive,Likely,"Other,Delivery Delays,Lack of Variety","Better Loyalty Rewards,Flexible Returns,AR Product Previews",7,Evening,No
55+,Male,$5000-$9999,Master’s,Employed,3-5 times,$20-$49,"Books,Electronics",Mobile,Discounts,Very Unlikely,Yes,Neutral,None,Yes,Yes,Changed Mind,Rarely,Not at All Sensitive,Unlikely,Lack of Variety,"Better Loyalty Rewards,One-Click Checkout,Live Chat Support",4,Evening,Yes
55+,Male,"$10,000+",Master’s,Employed,6-10 times,$50-$99,"Fashion,Home & Kitchen",Mobile,Delivery Speed,Very Likely,Yes,Neutral,None,Yes,Yes,Slow Delivery,Sometimes,Very Sensitive,Likely,Payment Issues,"Better Loyalty Rewards,Flexible Returns,Other",1,Evening,Yes
25-34,Male,$1000-$2999,Bachelor’s,Student,3-5 times,$20-$49,Health & Beauty,Mobile,Product Range,Unlikely,Maybe,Unlikely,$10-19,Yes,No,High Shipping Costs,Sometimes,Very Sensitive,Likely,Other,"Better Loyalty Rewards,Live Chat Support,AR Product Previews",8,Morning,No
25-34,Female,$3000-$4999,Bachelor’s,Employed,1-2 times,<$20,Groceries,Mobile,Price,Likely,No,Very Unlikely,$20+,Yes,Yes,Slow Delivery,Often,Not at All Sensitive,Neutral,Product Quality,"AR Product Previews,One-Click Checkout,Flexible Returns",5,Evening,Maybe
35-44,Female,"$10,000+",Master’s,Student,1-2 times,$50-$99,"Fashion,Groceries,Electronics",Tablet,Discounts,Neutral,No,Very Likely,$5-9,Sometimes,No,Slow Delivery,Rarely,Somewhat Sensitive,Likely,Payment Issues,One-Click Checkout,8,Evening,No
35-44,Female,$5000-$9999,Bachelor’s,Employed,3-5 times,$100-$199,"Health & Beauty,Home & Kitchen,Other",Desktop/Laptop,Brand,Very Unlikely,No,Likely,None,Yes,No,Other,Never,Very Sensitive,Neutral,"Payment Issues,Poor Customer Service,Product Quality",One-Click Checkout,9,Evening,Maybe
25-34,Female,$3000-$4999,Doctorate,Self-employed,6-10 times,$20-$49,"Groceries,Electronics,Other",Mobile,Reviews,Likely,Maybe,Likely,$10-19,No,Maybe,Slow Delivery,Sometimes,Not Very Sensitive,Neutral,"Poor Customer Service,Product Quality,Payment Issues","Live Chat Support,Flexible Returns",5,Evening,Yes
55+,Male,"$10,000+",Bachelor’s,Self-employed,3-5 times,$50-$99,Health & Beauty,Mobile,Brand,Likely,No,Likely,$5-9,Sometimes,Yes,Complicated Checkout,Rarely,Neutral,Neutral,"Product Quality,Payment Issues","Better Loyalty Rewards,Live Chat Support,One-Click Checkout",9,Afternoon,No
35-44,Male,<$1000,Master’s,Student,1-2 times,$20-$49,"Books,Home & Kitchen,Fashion",Tablet,Price,Likely,No,Likely,None,Sometimes,Yes,Slow Delivery,Sometimes,Neutral,Unlikely,"Delivery Delays,Product Quality","AR Product Previews,Other,Flexible Returns",5,Evening,Yes
25-34,Female,$3000-$4999,Bachelor’s,Retired,10+ times,$20-$49,Health & Beauty,Mobile,Reviews,Very Likely,No,Unlikely,$5-9,Yes,No,Changed Mind,Sometimes,Somewhat Sensitive,Neutral,"Product Quality,Other,Delivery Delays",Better Loyalty Rewards,10,Afternoon,Maybe
25-34,Male,$1000-$2999,Master’s,Employed,3-5 times,$50-$99,Groceries,Mobile,Brand,Likely,No,Likely,$20+,No,Yes,Changed Mind,Sometimes,Very Sensitive,Very Likely,Delivery Delays,"One-Click Checkout,AR Product Previews",5,Evening,No
45-54,Male,<$1000,Bachelor’s,Unemployed,3-5 times,$50-$99,"Books,Fashion",Mobile,Discounts,Likely,No,Likely,$5-9,Yes,No,Security Concerns,Often,Very Sensitive,Very Likely,"Delivery Delays,Product Quality","Better Loyalty Rewards,AR Product Previews,One-Click Checkout",7,Evening,No
45-54,Female,$3000-$4999,Other,Employed,3-5 times,$50-$99,"Other,Groceries,Fashion",Desktop/Laptop,Delivery Speed,Likely,Yes,Likely,$5-9,Yes,Maybe,Complicated Checkout,Sometimes,Not Very Sensitive,Likely,"Payment Issues,Poor Customer Service,Lack of Variety",Better Loyalty Rewards,7,Evening,Maybe
45-54,Male,<$1000,High School,Employed,3-5 times,$50-$99,Other,Mobile,Price,Likely,No,Likely,None,Sometimes,Yes,Changed Mind,Sometimes,Not Very Sensitive,Neutral,Delivery Delays,Flexible Returns,6,Evening,Maybe
18-24,Female,$3000-$4999,Bachelor’s,Employed,3-5 times,$20-$49,"Groceries,Health & Beauty",Desktop/Laptop,Product Range,Neutral,Maybe,Very Likely,None,No,Yes,Security Concerns,Sometimes,Very Sensitive,Likely,Product Quality,"Flexible Returns,Live Chat Support",4,Evening,No
18-24,Female,$1000-$2999,Bachelor’s,Employed,3-5 times,$100-$199,"Other,Groceries",Desktop/Laptop,Product Range,Neutral,No,Likely,<$5,Yes,Yes,Changed Mind,Rarely,Very Sensitive,Unlikely,"Other,Poor Customer Service,Delivery Delays","Live Chat Support,One-Click Checkout,Flexible Returns",10,Night,No
35-44,Male,$1000-$2999,Bachelor’s,Employed,3-5 times,$50-$99,"Health & Beauty,Home & Kitchen",Mobile,Reviews,Very Likely,Yes,Unlikely,$5-9,Sometimes,Yes,Security Concerns,Rarely,Somewhat Sensitive,Likely,Product Quality,"One-Click Checkout,Better Loyalty Rewards,Live Chat Support",4,Evening,No
25-34,Female,$3000-$4999,Bachelor’s,Employed,10+ times,$50-$99,"Groceries,Electronics",Desktop/Laptop,Brand,Unlikely,No,Unlikely,<$5,No,Yes,Complicated Checkout,Sometimes,Somewhat Sensitive,Very Likely,"Poor Customer Service,Payment Issues,Lack of Variety",Better Loyalty Rewards,5,Evening,Yes
35-44,Male,"$10,000+",Master’s,Unemployed,1-2 times,<$20,"Groceries,Electronics,Home & Kitchen",Desktop/Laptop,Price,Likely,Yes,Very Unlikely,$5-9,Sometimes,No,Complicated Checkout,Rarely,Very Sensitive,Neutral,"Delivery Delays,Poor Customer Service","AR Product Previews,Live Chat Support,One-Click Checkout",9,Morning,No
35-44,Male,$1000-$2999,Master’s,Employed,6-10 times,$50-$99,Electronics,Mobile,Discounts,Likely,No,Unlikely,$5-9,No,Yes,Complicated Checkout,Sometimes,Not Very Sensitive,Very Unlikely,"Lack of Variety,Poor Customer Service,Other",AR Product Previews,3,Night,No
55+,Female,$5000-$9999,Master’s,Employed,Never,<$20,"Groceries,Books,Health & Beauty",Mobile,Brand,Neutral,Maybe,Neutral,None,Sometimes,Yes,Other,Sometimes,Somewhat Sensitive,Unlikely,Delivery Delays,"Flexible Returns,AR Product Previews",10,Afternoon,Yes
35-44,Female,"$10,000+",Bachelor’s,Employed,10+ times,$20-$49,"Other,Home & Kitchen,Books",Tablet,Discounts,Neutral,No,Very Likely,$5-9,Sometimes,Yes,Slow Delivery,Sometimes,Very Sensitive,Very Likely,Payment Issues,"Live Chat Support,Better Loyalty Rewards",8,Night,Yes
25-34,Male,<$1000,Bachelor’s,Employed,1-2 times,$100-$199,"Health & Beauty,Groceries,Fashion",Mobile,Brand,Neutral,No,Neutral,<$5,Yes,Yes,Security Concerns,Sometimes,Neutral,Likely,"Delivery Delays,Other",AR Product Previews,7,Afternoon,Yes
35-44,Male,$3000-$4999,Bachelor’s,Retired,6-10 times,$20-$49,"Health & Beauty,Other,Home & Kitchen",Mobile,Reviews,Likely,No,Likely,<$5,Yes,Yes,Other,Sometimes,Neutral,Very Likely,"Product Quality,Delivery Delays,Other","Flexible Returns,AR Product Previews",7,Evening,No
35-44,Female,"$10,000+",Other,Employed,10+ times,$20-$49,"Books,Health & Beauty",Mobile,Price,Neutral,No,Unlikely,<$5,No,No,Other,Rarely,Neutral,Likely,"Payment Issues,Delivery Delays",Flexible Returns,10,Evening,No
35-44,Male,$3000-$4999,High School,Employed,3-5 times,$50-$99,Groceries,Mobile,Reviews,Very Unlikely,Yes,Very Unlikely,None,Yes,No,Slow Delivery,Always,Very Sensitive,Likely,"Delivery Delays,Product Quality","One-Click Checkout,Flexible Returns,Other",7,Evening,No
35-44,Female,$1000-$2999,Master’s,Self-employed,6-10 times,$100-$199,Groceries,Desktop/Laptop,Price,Neutral,No,Neutral,None,Sometimes,Yes,High Shipping Costs,Sometimes,Very Sensitive,Neutral,"Product Quality,Other,Lack of Variety","Better Loyalty Rewards,Live Chat Support",10,Evening,Yes
25-34,Male,$5000-$9999,Bachelor’s,Employed,3-5 times,$100-$199,Home & Kitchen,Desktop/Laptop,Price,Very Unlikely,Yes,Likely,None,Sometimes,No,Slow Delivery,Sometimes,Not at All Sensitive,Unlikely,"Delivery Delays,Lack of Variety","Live Chat Support,Better Loyalty Rewards",6,Morning,Yes
25-34,Female,$3000-$4999,Bachelor’s,Employed,Never,$100-$199,"Groceries,Home & Kitchen",Mobile,Brand,Neutral,No,Likely,$5-9,Sometimes,No,Changed Mind,Often,Not Very Sensitive,Neutral,"Delivery Delays,Payment Issues","One-Click Checkout,Live Chat Support,AR Product Previews",6,Morning,Yes
18-24,Male,$5000-$9999,Bachelor’s,Unemployed,3-5 times,$100-$199,"Groceries,Electronics",Mobile,Brand,Neutral,Maybe,Very Unlikely,$5-9,No,No,Complicated Checkout,Always,Not Very Sensitive,Unlikely,"Poor Customer Service,Delivery Delays","Better Loyalty Rewards,Flexible Returns,Other",4,Evening,No
35-44,Female,<$1000,High School,Employed,10+ times,$50-$99,Other,Desktop/Laptop,Product Range,Very Likely,No,Likely,None,Yes,Yes,High Shipping Costs,Often,Not Very Sensitive,Likely,"Payment Issues,Product Quality","Other,Flexible Returns,Live Chat Support",9,Night,Yes
25-34,Male,"$10,000+",Bachelor’s,Employed,10+ times,$50-$99,Groceries,Desktop/Laptop,Price,Likely,No,Likely,None,No,Maybe,Security Concerns,Rarely,Somewhat Sensitive,Unlikely,"Product Quality,Payment Issues,Other",AR Product Previews,8,Night,No
45-54,Male,$1000-$2999,Master’s,Employed,6-10 times,$50-$99,Health & Beauty,Mobile,Reviews,Unlikely,Yes,Very Unlikely,None,Yes,Yes,Changed Mind,Sometimes,Not Very Sensitive,Likely,Lack of Variety,"Flexible Returns,Live Chat Support,AR Product Previews",10,Evening,Yes
25-34,Male,$5000-$9999,Master’s,Retired,3-5 times,$20-$49,"Home & Kitchen,Books",Desktop/Laptop,Discounts,Neutral,Maybe,Likely,None,Yes,Yes,Slow Delivery,Rarely,Neutral,Very Likely,"Delivery Delays,Lack of Variety,Payment Issues","AR Product Previews,Flexible Returns,Better Loyalty Rewards",4,Evening,No
35-44,Male,$1000-$2999,Bachelor’s,Employed,3-5 times,$100-$199,"Electronics,Home & Kitchen,Groceries",Desktop/Laptop,Price,Neutral,No,Likely,$5-9,Sometimes,No,Complicated Checkout,Never,Neutral,Likely,"Lack of Variety,Product Quality",Live Chat Support,8,Afternoon,Yes
25-34,Female,$3000-$4999,High School,Self-employed,3-5 times,$50-$99,Electronics,Mobile,Reviews,Likely,No,Likely,$5-9,Yes,No,Security Concerns,Often,Somewhat Sensitive,Very Likely,"Lack of Variety,Other,Delivery Delays",Better Loyalty Rewards,8,Evening,Yes
18-24,Male,$3000-$4999,Master’s,Employed,3-5 times,$100-$199,Groceries,Mobile,Reviews,Likely,Yes,Unlikely,$5-9,No,Yes,Slow Delivery,Often,Very Sensitive,Neutral,"Other,Product Quality",Other,5,Evening,No
25-34,Male,$3000-$4999,Bachelor’s,Employed,6-10 times,$20-$49,Fashion,Mobile,Discounts,Unlikely,Yes,Neutral,$10-19,Yes,No,High Shipping Costs,Never,Somewhat Sensitive,Likely,"Product Quality,Lack of Variety,Other","Better Loyalty Rewards,Live Chat Support,AR Product Previews",10,Evening,Yes
18-24,Female,$1000-$2999,Bachelor’s,Employed,10+ times,$50-$99,"Home & Kitchen,Health & Beauty,Groceries",Desktop/Laptop,Price,Likely,Yes,Likely,<$5,No,No,High Shipping Costs,Often,Somewhat Sensitive,Very Likely,Delivery Delays,"Flexible Returns,One-Click Checkout",9,Evening,Maybe
25-34,Female,<$1000,Bachelor’s,Retired,10+ times,$50-$99,"Fashion,Groceries,Books",Desktop/Laptop,Price,Very Likely,Yes,Likely,$5-9,Sometimes,Maybe,Changed Mind,Never,Very Sensitive,Neutral,"Product Quality,Poor Customer Service,Delivery Delays","Other,Better Loyalty Rewards,One-Click Checkout",8,Morning,No
35-44,Male,$3000-$4999,Master’s,Unemployed,3-5 times,$50-$99,"Electronics,Groceries,Fashion",Mobile,Delivery Speed,Likely,Yes,Neutral,$5-9,Yes,Yes,Security Concerns,Always,Very Sensitive,Unlikely,"Payment Issues,Other,Delivery Delays","AR Product Previews,Live Chat Support,One-Click Checkout",7,Night,Maybe
25-34,Male,$5000-$9999,Bachelor’s,Employed,1-2 times,$20-$49,"Fashion,Groceries,Electronics",Mobile,Reviews,Very Likely,Maybe,Very Likely,<$5,Yes,Maybe,Security Concerns,Sometimes,Somewhat Sensitive,Neutral,"Product Quality,Lack of Variety,Delivery Delays",Better Loyalty Rewards,8,Evening,Yes
35-44,Male,$3000-$4999,Bachelor’s,Employed,3-5 times,$20-$49,Groceries,Mobile,Reviews,Very Likely,Yes,Very Unlikely,$5-9,Yes,Yes,Slow Delivery,Rarely,Not Very Sensitive,Likely,Lack of Variety,"Live Chat Support,Other",3,Evening,Yes
35-44,Male,"$10,000+",Master’s,Employed,6-10 times,$50-$99,"Books,Health & Beauty,Groceries",Other,Delivery Speed,Likely,Maybe,Very Likely,$5-9,Sometimes,Yes,Security Concerns,Often,Not at All Sensitive,Likely,"Product Quality,Poor Customer Service",Better Loyalty Rewards,6,Afternoon,No
25-34,Male,$1000-$2999,Bachelor’s,Unemployed,10+ times,$50-$99,"Fashion,Groceries",Desktop/Laptop,Reviews,Very Likely,No,Very Unlikely,None,Yes,No,Changed Mind,Sometimes,Very Sensitive,Unlikely,"Other,Product Quality,Delivery Delays","Live Chat Support,Flexible Returns,Better Loyalty Rewards",7,Evening,Yes
55+,Female,$5000-$9999,Bachelor’s,Employed,10+ times,$20-$49,Fashion,Other,Price,Likely,Yes,Very Likely,$5-9,Sometimes,Maybe,Complicated Checkout,Rarely,Neutral,Likely,"Lack of Variety,Delivery Delays,Payment Issues","Flexible Returns,Live Chat Support",5,Evening,Yes
35-44,Female,$5000-$9999,Bachelor’s,Unemployed,6-10 times,$20-$49,Groceries,Mobile,Brand,Neutral,Yes,Unlikely,<$5,Yes,No,Changed Mind,Rarely,Not Very Sensitive,Neutral,Poor Customer Service,"Live Chat Support,AR Product Previews",6,Evening,No
35-44,Male,$5000-$9999,Bachelor’s,Self-employed,6-10 times,$20-$49,Groceries,Mobile,Price,Neutral,Maybe,Very Likely,$5-9,Yes,Yes,Security Concerns,Often,Not Very Sensitive,Very Likely,"Product Quality,Delivery Delays",AR Product Previews,9,Evening,No
35-44,Female,"$10,000+",Master’s,Self-employed,6-10 times,$50-$99,"Electronics,Groceries,Other",Tablet,Product Range,Likely,Yes,Very Likely,None,Yes,Yes,Security Concerns,Often,Neutral,Very Unlikely,"Payment Issues,Other,Delivery Delays","Live Chat Support,Other",9,Evening,Yes
45-54,Female,$1000-$2999,Bachelor’s,Employed,1-2 times,$20-$49,"Health & Beauty,Groceries,Electronics",Mobile,Price,Neutral,Yes,Likely,$10-19,No,No,High Shipping Costs,Never,Very Sensitive,Unlikely,"Product Quality,Payment Issues",Flexible Returns,10,Afternoon,Yes
35-44,Female,<$1000,High School,Employed,6-10 times,$50-$99,"Other,Electronics,Fashion",Mobile,Product Range,Neutral,No,Unlikely,<$5,Sometimes,Yes,Changed Mind,Never,Very Sensitive,Likely,Poor Customer Service,"AR Product Previews,Live Chat Support",7,Evening,Maybe
35-44,Female,$3000-$4999,Master’s,Employed,1-2 times,$20-$49,"Electronics,Health & Beauty,Books",Mobile,Price,Very Likely,No,Likely,$10-19,Sometimes,No,Changed Mind,Sometimes,Somewhat Sensitive,Likely,"Other,Payment Issues,Poor Customer Service","Better Loyalty Rewards,AR Product Previews",6,Night,Maybe
35-44,Female,$3000-$4999,Doctorate,Employed,3-5 times,$20-$49,"Home & Kitchen,Health & Beauty",Mobile,Discounts,Neutral,No,Unlikely,<$5,Sometimes,Yes,Changed Mind,Sometimes,Very Sensitive,Unlikely,"Other,Product Quality","AR Product Previews,One-Click Checkout",8,Evening,Yes
55+,Male,$1000-$2999,Bachelor’s,Employed,6-10 times,$100-$199,"Home & Kitchen,Groceries,Books",Mobile,Product Range,Likely,No,Very Likely,<$5,Sometimes,Yes,Security Concerns,Rarely,Somewhat Sensitive,Unlikely,"Other,Lack of Variety",One-Click Checkout,9,Evening,Maybe
18-24,Female,$3000-$4999,Master’s,Employed,Never,$20-$49,"Electronics,Books",Mobile,Discounts,Very Unlikely,No,Likely,None,Yes,Yes,Changed Mind,Sometimes,Very Sensitive,Neutral,"Delivery Delays,Product Quality","Live Chat Support,Better Loyalty Rewards",10,Evening,No
25-34,Female,"$10,000+",Bachelor’s,Self-employed,3-5 times,<$20,"Electronics,Health & Beauty,Home & Kitchen",Mobile,Reviews,Likely,No,Very Likely,None,No,Maybe,High Shipping Costs,Sometimes,Very Sensitive,Unlikely,Delivery Delays,"Better Loyalty Rewards,One-Click Checkout",7,Afternoon,Yes
35-44,Male,$5000-$9999,High School,Employed,3-5 times,$20-$49,"Groceries,Books",Mobile,Delivery Speed,Very Likely,No,Neutral,<$5,Sometimes,No,Security Concerns,Sometimes,Not Very Sensitive,Likely,"Product Quality,Payment Issues","AR Product Previews,Live Chat Support",3,Afternoon,Yes
45-54,Female,<$1000,Master’s,Unemployed,10+ times,$50-$99,"Electronics,Fashion",Mobile,Reviews,Likely,Yes,Unlikely,$20+,Sometimes,No,Slow Delivery,Never,Very Sensitive,Likely,Lack of Variety,"Flexible Returns,AR Product Previews,Other",10,Afternoon,Yes
45-54,Female,$1000-$2999,High School,Employed,10+ times,$20-$49,"Electronics,Groceries",Tablet,Product Range,Unlikely,No,Very Likely,<$5,Yes,Yes,Complicated Checkout,Never,Not Very Sensitive,Unlikely,"Lack of Variety,Other","Better Loyalty Rewards,Live Chat Support",7,Evening,Maybe
18-24,Female,$1000-$2999,Bachelor’s,Employed,3-5 times,$100-$199,Fashion,Mobile,Discounts,Very Likely,No,Unlikely,<$5,No,No,Security Concerns,Rarely,Not Very Sensitive,Very Likely,"Delivery Delays,Payment Issues,Product Quality","Better Loyalty Rewards,AR Product Previews,Live Chat Support",6,Night,No
18-24,Male,$1000-$2999,High School,Employed,1-2 times,$100-$199,"Electronics,Health & Beauty,Groceries",Tablet,Price,Likely,Yes,Very Likely,None,No,Yes,Other,Never,Very Sensitive,Likely,"Poor Customer Service,Product Quality","Other,Better Loyalty Rewards,Live Chat Support",8,Afternoon,Yes
35-44,Male,$3000-$4999,High School,Employed,1-2 times,$100-$199,"Books,Fashion",Desktop/Laptop,Brand,Very Likely,Yes,Likely,$5-9,Sometimes,Yes,Complicated Checkout,Sometimes,Very Sensitive,Likely,"Delivery Delays,Lack of Variety,Payment Issues","Flexible Returns,Better Loyalty Rewards,One-Click Checkout",6,Afternoon,No
55+,Female,$3000-$4999,Bachelor’s,Retired,3-5 times,$50-$99,Fashion,Mobile,Brand,Likely,No,Neutral,<$5,Sometimes,Maybe,Complicated Checkout,Always,Neutral,Likely,Lack of Variety,"Other,Live Chat Support,AR Product Previews",4,Evening,No
45-54,Female,"$10,000+",Master’s,Employed,3-5 times,$50-$99,Other,Mobile,Brand,Unlikely,No,Very Likely,<$5,Yes,Yes,Complicated Checkout,Sometimes,Neutral,Neutral,Delivery Delays,"Better Loyalty Rewards,Other",4,Afternoon,Maybe
18-24,Male,"$10,000+",Bachelor’s,Employed,1-2 times,$100-$199,"Electronics,Other",Mobile,Brand,Neutral,Yes,Likely,$5-9,Yes,No,Changed Mind,Sometimes,Somewhat Sensitive,Neutral,"Payment Issues,Delivery Delays,Other",One-Click Checkout,10,Night,Maybe
35-44,Other,"$10,000+",Bachelor’s,Employed,10+ times,$50-$99,"Health & Beauty,Groceries",Mobile,Brand,Very Unlikely,Maybe,Likely,<$5,Sometimes,Maybe,Other,Rarely,Somewhat Sensitive,Very Unlikely,"Payment Issues,Product Quality,Delivery Delays","Flexible Returns,Live Chat Support",8,Night,Yes
55+,Female,$1000-$2999,Bachelor’s,Employed,1-2 times,$20-$49,"Books,Fashion",Mobile,Discounts,Unlikely,Yes,Very Unlikely,None,No,Yes,Security Concerns,Rarely,Somewhat Sensitive,Neutral,"Other,Delivery Delays,Payment Issues","Live Chat Support,One-Click Checkout",5,Night,Yes
35-44,Male,"$10,000+",Bachelor’s,Employed,3-5 times,$50-$99,Fashion,Mobile,Reviews,Unlikely,Yes,Very Likely,None,Yes,No,Slow Delivery,Sometimes,Somewhat Sensitive,Unlikely,Other,Better Loyalty Rewards,7,Evening,No
45-54,Male,$1000-$2999,Bachelor’s,Employed,3-5 times,<$20,"Groceries,Fashion",Desktop/Laptop,Price,Neutral,Yes,Likely,<$5,No,Yes,Complicated Checkout,Always,Somewhat Sensitive,Very Likely,Product Quality,"Live Chat Support,Better Loyalty Rewards",4,Evening,Yes
55+,Male,$1000-$2999,Bachelor’s,Employed,1-2 times,$100-$199,"Electronics,Home & Kitchen,Fashion",Desktop/Laptop,Product Range,Neutral,Yes,Neutral,<$5,Yes,Maybe,Other,Never,Not Very Sensitive,Very Likely,"Product Quality,Delivery Delays",Live Chat Support,6,Evening,No
25-34,Male,<$1000,Bachelor’s,Student,1-2 times,$20-$49,"Electronics,Other,Groceries",Mobile,Discounts,Likely,No,Likely,$5-9,No,Yes,High Shipping Costs,Sometimes,Somewhat Sensitive,Likely,Lack of Variety,Live Chat Support,5,Evening,Yes
35-44,Female,"$10,000+",Master’s,Employed,3-5 times,$20-$49,"Health & Beauty,Electronics",Mobile,Brand,Neutral,Yes,Very Unlikely,None,Sometimes,Yes,Security Concerns,Often,Neutral,Very Likely,"Payment Issues,Lack of Variety,Poor Customer Service","Flexible Returns,AR Product Previews",9,Evening,Yes
